"station_id","terminal_id","x_lon","y_lat","address","postcode","place","area","docks","first_hire","last_hire","is_active","hires_started","duration_started","hires_ended","duration_ended","hires_self","duration_self","hires_started_noself","duration_started_noself","hires_ended_noself","duration_ended_noself","OA","LSOA","MSOA","LAD","WARD","PCON","PCS","PCD","PCA"
65,"000969",-0.135188,51.525227,"215 Gower Pl, Kings Cross, London WC1E, UK","WC1E6BP","Gower Place","Euston",17,20120104,20170919,1,90090,889,84173,899,616,2114,89474,880,83557,890,"E00004174","E01000854","E02000191","E09000007","","","WC1E6","WC1E","WC"
66,"000982",-0.108657,51.51795,"124 Holborn, London EC1N, UK","EC1N2DY","Holborn Circus","Holborn",40,20120104,20170919,1,172326,939,191991,893,1146,2315,171180,930,190845,885,"E00004557","E01000917","E02000192","E09000007","","","EC1N2","EC1N","EC"
67,"000985",-0.108028,51.518825,"100-102 Hatton Garden, London EC1N, UK","EC1N8AT","Hatton Garden","Holborn",28,20120104,20170919,1,109247,871,102932,884,934,2181,108313,860,101998,872,"E00004547","E01000916","E02000192","E09000007","","","EC1N8","EC1N","EC"
68,"000975",-0.116688,51.520596,"11 Theobalds Rd, London WC1X 8SF, UK","WC1R4HD","Theobald's Road","Holborn",26,20120104,20170919,1,114091,914,110947,990,818,2855,113273,900,110129,976,"E00004554","E01000914","E02000193","E09000007","","","WC1R4","WC1R","WC"
69,"000983",-0.134407,51.526236,"194 Euston Rd, Kings Cross, London NW1 2DG, UK","NW1 2FB","Euston Road","Euston",24,20120104,20170919,1,79476,1302,74087,1208,735,4396,78741,1273,73352,1176,"E00004694","E01000945","E02000188","E09000007","","","NW1 2","NW1","NW"
70,"001066",-0.117069,51.53136,"200 Pentonville Road, Kings Cross, London N1 9GX, UK","N1  9JP","Calshot Street","King's Cross",24,20120104,20170919,1,40928,1256,37071,1220,1022,3701,39906,1194,36049,1149,"E00174843","E01002697","E02000572","E09000019","","","N1  9","N1","N"
71,"001074",-0.09885,51.515418,"81 Newgate St, London EC1A 7AJ, UK","EC4M7DZ","Newgate Street","St. Paul's",34,20120104,20170919,1,183883,976,212574,970,1314,2089,182569,968,211260,963,"E00000024","E01032739","E02000001","E09000001","","","EC4M7","EC4M","EC"
72,"003432",-0.10834,51.52352,"Free Word Centre, London EC1R 3GA, UK","EC1R3BP","Farringdon Lane","Clerkenwell",16,20120104,20170919,1,71953,969,74736,918,766,2765,71187,949,73970,899,"E00013546","E01002724","E02000575","E09000019","","","EC1R3","EC1R","EC"
73,"001064",-0.088486,51.525726,"207 Old Street, London EC1V, UK","EC1V9NR","Old Street Station","St. Luke's",37,20120104,20170919,1,225988,1017,233376,896,2422,3247,223566,993,230954,871,"E00013446","E01002701","E02000576","E09000019","","","EC1V9","EC1V","EC"
74,"001000",-0.124469,51.485917,"2 Wandsworth Rd, London SW8 2JW, UK","SW8 2FH","Vauxhall Cross","Vauxhall",17,20120104,20170919,1,146358,1223,143945,1306,3067,5105,143291,1140,140878,1224,"E00171538","E01033208","E02000621","E09000022","","","SW8 2","SW8","SW"
